{590=[1.0, 1.0, 1.0, 0.9132245, 0.85689116, 0.81668365, 0.8334801, 0.7849911, 0.7636851, 0.7458831],
230=[0.22580646, 0.1885859, 0.1695217, 0.20479286, 0.20433109, 0.20397817, 0.22259007, 0.2201708, 0.226035, 0.24639784],
351=[0.22580646, 0.22580647, 0.32581627, 0.39332086, 0.4433826, 0.48268837, 0.5147538, 0.54164207, 0.5646611, 0.56015277],
352=[0.48387092, 0.68353695, 0.63668746, 0.56760705, 0.62433916, 0.6648313, 0.6482507, 0.6763184, 0.6444421, 0.66706294],
594=[1.0, 0.80033404, 0.72607934, 0.68535745, 0.72664016, 0.7004723, 0.72791666, 0.7084431, 0.7290725, 0.7134726],
111=[0.22580646, 0.32563946, 0.3022147, 0.28936836, 0.3148881, 0.3331026, 0.32327154, 0.33608648, 0.3465431, 0.33886173],
232=[0.48387092, 0.48387095, 0.48387095, 0.48387095, 0.48387095, 0.512376, 0.51012975, 0.57930404, 0.5964189, 0.5915407],
474=[1.0, 0.80033404, 0.72607934, 0.77213293, 0.80203027, 0.8233692, 0.8395531, 0.79057944, 0.7688781, 0.7507457],
233=[0.48387092, 0.60458624, 0.66641605, 0.70601255, 0.7343379, 0.755986, 0.7354872, 0.75210917, 0.76613295, 0.750703],
354=[1.0, 1.0, 0.874859, 0.89589864, 0.9095573, 0.91930604, 0.8778327, 0.887581, 0.8955353, 0.90218145],
475=[1.0, 0.80033404, 0.6655273, 0.7217613, 0.75826764, 0.78432375, 0.8040852, 0.7785338, 0.75768477, 0.7993489],
596=[1.0, 1.0, 0.874859, 0.8062306, 0.8316542, 0.79231244, 0.762475, 0.73887116, 0.7196111, 0.73744965],
113=[0.48387092, 0.33412147, 0.4903628, 0.4892713, 0.45470336, 0.5134804, 0.51076746, 0.5498055, 0.54514027, 0.5412423],
234=[1.0, 1.0, 0.8183437, 0.76210964, 0.6917439, 0.6415209, 0.6743667, 0.6591662, 0.6712775, 0.6645261],
597=[1.0, 1.0, 1.0, 1.0, 0.93228126, 0.9395807, 0.94511664, 0.94949603, 0.9530695, 0.9560552],
356=[0.48387092, 0.68353695, 0.75779164, 0.711738, 0.7495594, 0.7209211, 0.675556, 0.70144486, 0.7225694, 0.7073832],
477=[1.0, 0.80033404, 0.8471835, 0.87287617, 0.8218367, 0.7854077, 0.75777924, 0.7359229, 0.6998292, 0.6696715],
357=[0.22580646, 0.5253054, 0.63668746, 0.61099476, 0.59431547, 0.5545942, 0.5481141, 0.5841721, 0.57707524, 0.57114553],
599=[1.0, 0.700501, 0.77077526, 0.72253877, 0.6573649, 0.69429725, 0.72230744, 0.6826893, 0.66862184, 0.6568678],
479=[1.0, 1.0, 0.8183437, 0.8488851, 0.767134, 0.7922345, 0.7639805, 0.7734847, 0.7818667, 0.7710509],
117=[0.48387092, 0.60458624, 0.5830201, 0.6325157, 0.6165363, 0.7347033, 0.7535, 0.7354754, 0.7202683, 0.7346813],
239=[1.0, 1.0, 0.8788958, 0.89925677, 0.9124748, 0.92190903, 0.8817736, 0.85002315, 0.8241158, 0.80246913],
119=[0.48387092, 0.48387095, 0.42331886, 0.43349934, 0.406249, 0.4146158, 0.42096132, 0.42598116, 0.41181767, 0.4164017],
10=[0.032258064, 0.10713281, 0.13497831, 0.21203634, 0.23090167, 0.24595837, 0.24336669, 0.28170168, 0.2902318, 0.29771373],
15=[0.48387092, 0.68353695, 0.63668746, 0.56760705, 0.5566204, 0.50705403, 0.48128456, 0.4454547, 0.46516007, 0.46520978],
